Nama Perusahaan,Alamat,Kawasan/Kecamatan
PT.  YAYASAN PEND.,"PELITA HARAPAN, Jl. Dago Permai No. 1, Lemahabang, Jasa Pendidikan, , 51., PT.  AUSDOC, GEOSERVICES, INDONESIA, Jl. Industri Utara I Blok, SS 12,13,15 Cikarang, Utara - Beksi, Jasa Pengelolaan, Arsip, , 52., PT.  DONGWOO, ENVIRONMENTAL, IND., Jl. Jababeka IX Blok P -, 3F Cikarang, , Jasa Pengolahan, Limbah, 53., PT.  BIROTIKA, SEMESTA, Jl. Jababeka IXA Blok P, No. B-02 Cikarang Utara, – Bekasi, jasa Penitipan, barang (cargo), , 54.",Jababeka
CV.  TAIYOU MANDIRI,", Cluster, Darmawangsa, Grand, Residen, Rt.002/011, Desa, Cijengkol, Kec.Setu",Lainnya
CV.,"PRO, MITRA, INDONESIA, Jl., Kancil, 1/B/122, Cikarang Baru Rt.002/007, Kel.Sertajaya, Kec., Cikarang Timur",Cikarang Timur
PT. ARTHA,"Jl. Beruang Raya H No., 169, , 18., CV. WIRA KARYA T, Jl. Beruang Raya H No., 173 - G 190, , 19., CV. GLOBAL MULTI T, Jl. Beruang Raya H No., 175, , 20., PT. TAMBOR, Jl. Beruang Raya H No., 177 - H 182, , 21., CV. AQRU TEKHNIK, Jl. Beruang Raya H No., 181, , 22., INDOSEHAT, Jl. Beruang Raya H 185, , 23., MEGAKARYA, Jl. Beruang Raya H 203, , 24., PROLOG, Jl. Beruang Raya H 205, , 25., INNOVATECH, Jl. Beruang Raya H 207, , 26., WIRATAMA, Jl. Beruang Raya H 109-, 211-G195, , 27., OWIEN, Jl. Beruang Raya H 213, , 28., CV. ASBARU, Jl. Beruang Raya G No., 214, , 29., PT. DERIS TAMA, Jl. Beruang Raya G No., 208-207-206, , 30., PT. BANDRO ENGINERING, YOSVIN ARIES, Jl. Beruang Raya G No., 200, , 31., CV. RAMA TECH, Jl. Beruang Raya G No., 196, , 32., CV. DUTA PRATAMA, Jl. Beruang Raya G No., 186, , 33., CV., CIPTA, KARYA, MANDIRI, Jl. Beruang Raya G No., 212, , 34., PT. KAKAZU INDO, Jl. Beruang Raya G No., 182, , 35., CV. SARI PLASINDO, Jl. Beruang Raya G No., 160-178, , 36., PT. FAKO KARYA, Jl. Beruang Raya G No., 178, , 37., CV. PANDAWA, Jl. Beruang Raya G No., 111, , 38., CV. ERA MAKMUR, Jl. Beruang Raya G No., 172, , 39., CV. UNIVERSAL. P, Jl. Beruang Raya G No., 170, , 40., CV. DST, Jl. Beruang Raya G No., 168, , , , R A H A S I A, , , R A H A S I A, 63, , 1, 2, 3, 4, 41., AQUALIA, Jl. Beruang Raya G No., 164, , 42., PT. JAYA SENTRA ENG, Jl. Beruang Raya G No., 191, , 43., ISI PERSADA, Jl. Beruang Raya G No., 185, , 44., Cv. Wahana Cipta / Bubut, Kp Kandang Roda Rt 05/03, Ds. Serang Kec. Ciksel, , 45.",Lainnya
PT. JABABEKA,"Desa Pasirgombong Kec., Cikarang, Utara, Kab., Bekasi., , 19., PT. MATTEL, Desa Pasirgombong Kec., Cikarang, Utara, Kab., Bekasi., , 20., PT. KMK PLASTIK, INDONESIA, Kec. Cikarang Utara Kab., Bekasi., , 21., PT. LUTI COCO ABADI, Desa Pasirgombong Kec., Cikarang, Utara, Kab., Bekasi., , 22., PT. ASIA PRINTIS CD, Desa Pasirgombong Kec., Cikarang, Utara, Kab., Bekasi., , 23., PT. SEPANJANG SURYA, GAS, Kec. Cikarang Utara Kab., Bekasi., , 24., PT. ASTANA IMI INDS., LEMAH ABANG, Desa Pasirgombong Kec., Cikarang, Utara, Kab., Bekasi., , 25., PT. DARMA KARSA UTAMA Kec. Cikarang Utara Kab., Bekasi., , 26., PT. ICI SUTARTECKS, INDONESIA, Kec. Cikarang Utara Kab., Bekasi., , , , R A H A S I A, , , R A H A S I A, 67, , 1, 2, 3, 4, 27., YAYASAN BIDAYATUS, SABIL, Desa Cikarangkota Kec., Cikarang, Utara, Kab., Bekasi., , 28., PT. SINAR BOGASARI, , , , 29., PT. DAELIM DARMALA, INDONESIA, Desa Karangraharja Kec., Cikarang, Utara, Kab., Bekasi., , 30., PT. CIKARANG LISTRINDO, Desa Karangraharja Kec., Cikarang, Utara, Kab., Bekasi., , 31., PT. SHOWA INDONESIA, MFG, Desa, Harjamekar, Kec., Cikarang, Utara, Kab., Bekasi., , 32., PT. BOGASARI PUTRA, INDONESIA, Desa Cikarangkota Kec., Cikarang, Utara, Kab., Bekasi., , 33., PT. APERI INDONESIA, Kec. Cikarang Utara Kab., Bekasi., , 34., PT. UNIFAK KEMAS INDAH, Desa Karangraharja Kec., Cikarang, Utara, Kab., Bekasi., , 35., PT. GRAFINDO MAQTRA, SEMESTA, Desa, Harjamekar, Kec., Cikarang, Utara, Kab., Bekasi., , 36., PT. TOSO, Desa Pasirgombong Kec., Cikarang, Utara, Kab., Bekasi., , 37., PT. BINKO MARAHMANA, Desa Pasirgombong Kec., Cikarang, Utara, Kab., Bekasi., , 38., PT. MAHCTRACO, “KOPKAR MATRA”, Desa, Karangasih, Kec., Cikarang",Cikarang Utara
PT. SARA CHOOME,"PERSADA, Desa Cikarangkota Kec., Cikarang, Utara, Kab., Bekasi., , 45., MIK CIKARANG, Desa Cikarangkota Kec., Cikarang Utara Kab., Bekasi., , 46., CV. WIJAYA CIKARANG, MOTOR, Desa Cikarangkota Kec., Cikarang Utara Kab., Bekasi., , 47., NKO MAS LESTARI, Desa, Harjamekar, Kec., Cikarang, Utara, Kab., Bekasi., , 48., PT. PADI COMPONEN, “LLATE”, Desa Pasirgombong Kec., Cikarang, Utara, Kab.",Cikarang Utara
PT. KOPKARCO,"Desa Harjamekar Kec., Cikarang Utara Kab., Bekasi., , 51., PT. NISSIN MAS, Desa Pasirgombong Kec., Cikarang, Utara, Kab., Bekasi., , 52., PASAR BARU CIKARANG, Desa Cikarangkota Kec., Cikarang, Utara, Kab., Bekasi., , 53., PASAR LEMAH ABANG, Desa, Waluya, Kec., Cikarang, Utara, Kab., Bekasi., , 54., KARTIKA MAKMUR JAYA, Desa, Mekarmukti, Kec., Cikarang, Utara, Kab., Bekasi., , 55., JASA PERD. UM., ANUGRAH SRI REJEKI, Desa Karangraharja Kec., Cikarang, Utara, Kab., Bekasi., , , 56., DISTRIBUSI SEMBAKO, MELATI (KDS), Desa, Karangasih, Kec., Cikarang, Utara, Kab., Bekasi., , 57., PERD. ANEKA JASA, WARGA SEJAHTERA, Desa Pasirgombong Kec., Cikarang, Utara, Kab., Bekasi., , 58., WARGA PERUM. CKR., BARU USAHA JAYA, Desa, Mekarmukti, Kec., Cikarang, Utara, Kab., Bekasi., , , , R A H A S I A, , , R A H A S I A, 69, , 1, 2, 3, 4, 59., PERISAI BHAGASASI, “KOPER”, Desa Karangasih Kec., Cikarang Utara Kab., Bekasi.",Cikarang Utara
PT. CHANG CHUN,"CHEMICAL, Desa, Harjamekar, Kec., Cikarang, Utara, Kab., Bekasi., , 72., PERDAG. UMUM & JASA, RKN SEJAHTERA, Desa, Tanjungsari, Kec., Cikarang, Utara, Kab., Bekasi., , 73., CV. ANUGERAH, SEJAHTERA, Desa, Mekarmukti, Kec., Cikarang, Utara, Kab., Bekasi., , 74., KOP. KAR WOTSILA, INDONESIA, Desa, Harjamekar, Kec., Cikarang, Utara, Kab., Bekasi., , , , R A H A S I A, , , R A H A S I A, 70, , 1, 2, 3, 4, 75., PT. KOTI, Desa Pasirgombong Kec., Cikarang, Utara, Kab., Bekasi., , 76., KOP SIMP. PINJAM MITRA, SEJAHTERA, Desa, Tanjungsari, Kec., Cikarang, Utara, Kab., Bekasi., , 77., PT. DINO, Desa Pasirgombong Kec., Cikarang, Utara, Kab., Bekasi., , 78., KOPONTREN DANIL, HIKMAH, Desa, Sukaraja, Kec., Karang, Bahagia, Kab., Bekasi., , 79., KOP. CITRA MANDIRI, Desa, Sukaraya, Kec., Karang, Bahagia, Kab., Bekasi., , 80., PERTANIAN MERKAH, JAYA, Desa, Karangsetia, Kec., Karang, Bahagia, Kab., Bekasi., , 81., USAHA BERSAMA HAI 94, Desa, Sukaraya, Kec., Karang Bahagia Bks, , 82., PER. ANEKA JASA WAHID, JAYA, Desa Karangrahayu Kec., Karang, Bahagia, Kab., Bekasi., , 83., PERTANIAN ALAM, SEJAHTERA ABADI, Desa, Sukaraya, Kec., Karang, Bahagia, Kab., Bekasi., , 84., \, BAHAGIA KARYA MANDIRI, Desa Karangbahagia Kec., Karang, Bahagia",Bekasi
CV. Saqinah Mandiri Catering,"Perum Permata Cikarang Selatan, Blok D1 No. 08 Rt.04/15 Ds., Sukadami Kec. Cikarang Selatan, Kab.Bekasi, 3., Buana Catering",Cikarang Selatan
CV. Cempaka Katering,"Jl.  Raya Setu Perum Grand, Mutiara Gading Roxi No. A 19 Ds., Telajung Kec. Cikarang Barat, 5., CV.Embun vitadana, Perumahan Taman Sentosa Blok, H3 No.02 Rt.020/007 Ds. Pasir, Sari Kec. Cikarang Selatan, 6., PT. Alam Handal Makmur, Kav. Blok B1 N0. 60-63 Ds.",Cikarang Barat
CV. Mitra Prima Sarana,"Perumahan Taman Sentosa Blok, H4 No.01 Rt.020/007 Ds. Pasir, Sari Kec. CikaranG Selatan",Cikarang Selatan
CV. Sabana,"Jl. Kedasih XI Blok XI Blok G No., 121 Rt.03/08 Cikarang Baru Kec., Cikarang Utara, 9., CV. Mulia Mandiri, Kp. Kukun Rt.11/06 Ds. Ciantra",Cikarang Utara
PT. Sinar Cipta Bogatama,"Perumnas Bumi Teluk Jambe W,, Jl. Kresna Kav. 73, 12., CV. Larasati, Jl. Ciherang Timur IV B/HH/20, Rt.03/09 Ds. Simpangan Kec., Cikarang Timur, 13., CV. Surya Padang Gambir Sawit",Cikarang Timur
PT. Asri Indo Rasa,"Jl. Cilemahabang Raya T-1 No.8, Cikarang Baru Rt.03/09 Ds., Jayamukti Kec. Cikarang Pusat, 15., CV. Caria Mandiri, Perum Mega Regency Blok",Lainnya
CV. Merdeka Catering,"Perumahan Kartika Wanasari Blok, B-1 no.5 Rt.02/11 Kel. Wanasari, Kec. Cibitung, 17., CV. Reva Putri, Kp. Cikedokan Rt.02/10 Ds.",Cibitung
CV. Berkah Bumi Baru,"Perum Mutiara Bekasi Jaya Blok, K.8 No.12 Rt.004/008 Ds. Sindang, Jaya Kec. Cibarusah, 21., PT. kurnia Catering, Kp. Babakan Rt.001/001 Ds.",Bekasi
CV. Adela,"Kp. Walahir Rt.01/05 Ds. Waluya, Kec. Cikarang Utara, 23., CV. Ryan Boga Utama catering, Jl. Merak Blok G No.1 Rt.03/08",Cikarang Utara
PT. Sho Chan,"Jababeka IV D No. 82 Ds. PAsir, Gombong Kec. Cikarang Utara, 25., Sahid Catering Service, Jl. MH. Thamrin Kav. 103 lippo, Cikarang Kec. Cikarang Selatan, 26., Kana Ratu Catering, Jl. Kancil V/D no.60 Rt.04/07 Ds., Sertajaya Kec. Cikarang Timur, 27., CV. Karunia Catering, Kp. Cibereum Ds. Mekarmukti",Jababeka
CV. Nur cipta Boga Catering,"Perum Taman Aster Blok G/7, No.21-22 Kec. Cikarang Barat, 29., PT. Lucky Print Abadi, Jl. Warung Bongkok Ds.",Cikarang Barat
CV. Mitra Mandiri,"Kp. Rawa Lintah rt.001/001 Ds., Mekar Mukti Kec. Cikarang Utara, 31., CV. Pribumi Karya Mandiri, Kawasan Industri MM2100 Kp.",MM2100
CV. Rizqullah Catering,"Kp. Kukun rt.10/05 Ds. Ciantra, Kec. Cikarang Selatan, 33., CV. Delicia Catering, Kp. Jarakosta No.01 Rt. 05/02",Cikarang Selatan
CV. Serumpun Padi,"Kp. Jarakosta Rt.001/002 Ds., Danau Indah Kec. Cikarang Barat, 37., CV. Makmur Sejati, Jl. Teratai Raya No. 124 Rt.03/01",Cikarang Barat
CV. Usaha Bersama,"Kp. Cikedokan warungsengon, Rt.02/01 No.140 Ds. Sukadanau, Kec. Cikarang Barat, 39., CV. Andika Pratama, Ruko Sentra Niaga Square Jl.",Cikarang Barat
PT. Cipta Niaga Cemerlang,"Jl. Gemalapik No. 57 Ds. Pasir, Sari Kec. Cikarang Selatan, 42., CV. Zhavira Bersaudara catering, Perum Kota Serang Baru Blok D-, 08 No.09 Rt. 08/016 ds., Sukaragam Kec. Serang Baru, 43., UD. Wulandari Sukses, Kp. Rawa JulanG Rt.04/02 Ds.",Cikarang Selatan
CV. Mitra Prima Sarana,"Perumahan Taman Sentosa Blok, H.4 No.01 Rt.020/007 Ds. Pasir, Sari KEc. Cikarang Selatan, 47., PT. Nuansa Mitra Nusantara, Jl. Raya Setu Kp. Telajung No.178",Cikarang Selatan
CV. Maju Catering,"Kp. Kukun Rt.002/005 Ds. Ciantra, Kec.Cikarang Selatan",Cikarang Selatan
CV. Manna Glory Pratama,"Ruko Ventura Jl. Gunung, Panderman Blok E No.01 Lc Ds., Cibatu Kec. Cikarang Selatan, 51., Saung Aira, Belakang Woom Finance, Cikarang Kp. Tanah Baru, Rt.002/002 Kec. Cikarang Utara, 52., Warung Tegal Mba Ning, Kp. Darmajaya Rt.003/02 Ds., Setiadarma KEc. Tambun Selatan",Cikarang Utara
PT. Melatindo Surya Perkasa,"Kp. Kukun Ds. Ciantra Rt.11/06, Kec.Cikarang Selatan, 57., PT. Ratu Mandiri, Jl. Kedasih 9 Blok F1 / 140 PErum",Cikarang Selatan
PT ASIANA WANG ANIMATION,"Lippo Cikarang Desa, Cibuntu Kec. Cikarang, Selatan, , 2., PT.CRESTEC INDONESIA, KI. MM2100, Jl. Lombok, I Blok. N2. Cikarang, , 3., PT.DAWEE PRINTING, INDONESIA, Jl. Jababeka IV Blok, C2F Cikarang, , 4., PT. TEMPRINA, Kp. Setiadarma Desa, Setiadarma, Kec., Tambun Selatan Kab., Bekasi, , 5., CV. NUSA AGUNG, Kp., Legon, Kel., Jatimulya Kec. Tambun, Selatan Kab. Bekasi, , 6., PT. TEMPRINA, Kp. Setiadarma Desa, Setiadarma, Kec., Tambun Selatan Kab., Bekasi, , , , R A H A S I A, , , R A H A S I A, 81, , 1, 2, 3, 4, 7., PERCETAKAN NANA, Rt. 07/03 Ds., Cikarageman Kec. Setu, , 8., AHMAD PILAR",Jababeka
CV. Harta Jaya,"Rt. 01/04 Ds. Wanasari, Kec. Cibitung, , 12., Rido Ilahi",Cibitung
PT. GRAMEDIA PRINTING,"Kawasan Delta Silicon I, Jl. Angsana Raya blok, A2 No.1 Lippo Cikarang, , 24., PT. GANECA EXACT, Jl. Selayar Kav A5, Kawasan MM2100, Cibitung., , , , R A H A S I A, , , R A H A S I A, 82, , 1, 2, 3, 4, 25., PERCETAKAN CIKARANG, Perum Bumi Citra, Lestari Ds. Waluya Kec., Cikarang Utara, , 26., WAHYU ABADI, Jl. Cipaganti Raya Ds., Jatireja Kec. Cikarang, Timur, , 27., SUBUR PERCETAKAN, Jl. Kp. Dusun Jati Ds., Jatireja Kec. Cikarang, Timur, , 28., HEXAGRAPHIA SIAP CETAK, Jl. Singa Cikarang Baru, , 29., KIMLU PERCETAKAN, Jl. Pusapa Raya, Cikarang baru, , 30., SNAPY, Jl. Anggrek Cikarang, Baru, , 31., PERCETAKAN ARDIE POETRA, GRAFINDO, Jl. Kasuari Cikarang, Baru, , 32., DIGITAL PRINTING INDAH, Jl. Raya Cikarang, cibarusah Ds. Pasir, gombong Kec. Cikarnag, Utara, , 33., ANGSANA PRINT, Jl. Industri Pasir, Gombong Kec., Cikarang Utara, , 34., BARETA CIKARANG, Jl. Industri Pasir, Gombong Kec., Cikarang Utara, , 35., SUBUR LIPPO CIKARANG, Jl. Raya MH. Thamrin, lippo Cikarang Kec., Cikarnag Selatan, , 36., DHARMA PRINTING CIKARANG, Jl, raya Serang –, Cibarusah Kec., Cikarang Selatan, , 37.",MM2100
PT BERLEI INDONESIA,"Jl. Jababeka  XII B Blok, W No. 39 Cikarang Utara, - Bekasi, Pakaian, Jadi, 2., PT BUMI ARTA MUKTI, Jl. Raya Tambelang Rt., 09/05, Cibitung - Bekasi, Pakaian, Jadi, 3., PT.BUSANA PRIMA GLOBAL",Jababeka
PT DHARMA KURNIA,"Sumber Jaya Kecamatan, Tambun, Pakaian, Jadi, 5., PT DHARMA MARUWA, GARMENT, KI. MM2100 Blok I No. 5, Cibitung, Pakaian, Jadi, 6., PT DOOSAN INDONESIA, KI. BIIE Hyundai Blok C1, No. 1 Lemahabang, Pakaian, Jadi, 7., PT, GREAT, IPHOK, INTERNATIONAL, Jl., Cibarusah, Ds., Sukaresmi, Km., 9,3, Lemahabang, Pakaian, Jadi, 8., GREAT JAKARTA INT'S /, CHILDREN WEAR, Jl. Raya Cibarusah Km., 9,3 Lemahabang, Pakaian",MM2100
PT GST UTAMA GARMANT,"INDUSTRI, Jl. Raya Cibarusah Km., 9,3 Lemahabang, Garment/P, akaian Jad, 11., PT.HANSUNG GARMINDO, MULIA",Lainnya
PT HOGY INDONESIA,"KI. MM2100 Blok M3 No., 1 Cibitung, Pakaian, Jadi, (Mecanical, Garment), 13., PT IL  JO INDONESIA, KI. BIIE Hyundai Blok C6, No. 8, Cikarang - Bekasi, Pakaian, Jadi, 14., PT. GARMENT NINDO, Kp. Legon Kel. Jatimulya, Kec. Tambun Selatan, Kab. Bekasi, , , , R A H A S I A, , , R A H A S I A, 85, , 1, 2, 3, 4, 15., PT. KAHO CITRA GARMENT, Jl. Inspeksi Kalimalang, Desa, Setidarma, Kec., Tambun Selatan Kab., Bekasi, , 16., PT. DAEYU, Jalan Sultan Hasanudin, Desa, Mekarsari, Kec., Tambun Selatan Kab., Bekasi, , 17., PT. INKO PRIMA GARMENT, Jalan Raya Tambelang, Desa Mangunjaya Kec., Tambun Selatan Kab., Bekasi, , 18., PT.  SUMBER MAKMUR, LESTARI, Jl. Jababeka  V Blok  F5, Cikarang, , 19., , PT.  VIKTORINDO MENAWAN, Jl. Jababeka XII Blok W, No. 39 Cikarang, , 20., , PT.  DOOSAN INDONESIA, KI. BIIE Hyundai Blok C1, No. 1 Lemahabang, , , o., Konveksi, , NO, NAMA PERUSAHAAN, ALAMAT PERUSAHAAN, JENIS USAHA, 1, 2, 3, 4, 1.  Lois, Kp.Legon, Kel.Jatimulya, Kec.Tambun Selatan, Celana Levis, 2.  KONVEKSI ANDI, Kp., Rawa, Banteng, Rt.04/01 Ds. Mekar Wangi, Kec. Cikarang Barat, , 3., PT.  BERLEI INDONESIA",Jababeka
PT.  SEIJI INDONESIA,", , Jl. Jababeka V Blok K5B,, Cikarang Utara – Bekasi, , Industri, pakaian jadi, dari textile",Jababeka
CV. Liarie Radha Kayana,"Jl. Puspa 1 Blok U2 No. 50, Ds.Jayamukti Kec., Cikarnag Pusat, , 63., CHIXEL Clothing, Perum Wahana Cikarang, blok C3 No. 06 Ds., Sukadami kec. Cikarang, Selatan, , 64., RAMPES CLOTH, JL. Rengas Bandung gg., Darusallam Ds., Karangsambung Kec., Kedungwaringin, , , , R A H A S I A, , , R A H A S I A, 89, , 1, 2, 3, 4, 65., Fajar Coleection, Jl. Raya Serang cibarusah, Ds. Sukaresmi Kec., Cikarang Selatan, , , 2., PERHUBUNGAN DAN TRANSPORTASI, , a., Transportasi Laut, , •, Pelabuhan Laut, , NO, NAMA",Cikarang Selatan
PT. FISA  JAYA ABADI,"Kp. Pulo Kapuk Rt., 03/05 Ds. Mekarmukti, Kec. Cikarang Utara, , 4., PT.",Cikarang Utara
PT.,"SUMBER, MEGAH, CEMERLANG, Kp., Telajung, Ds., Telajung Kec. Cikarang, Barat, , 6., PT. LESTARI SURYA GEMA, PERSADA, Kp. Sukamantri Ds., Sukaraya Kec. Karang, Bahagia, , 7., PT., PILAR, GALAXY, SEJAHTERA, Jl. KH. Dewantara Ds., Karang, Asih, Kec., Cikarang Utara, , , , R A H A S I A, , , R A H A S I A, 93, , 1, 2, 3, 4, 8., KOASI, Jl. Manunggal Raya, No. 19 Kp. Kedung, Gede Tambun Selatan, , 9., P.O Grand Mawar, Jl. Ruko Grand Wisata, No. 22 Ds. Lambang, Jaya, Kec., Tambun, Selatan, , 10., P.O Isnwati Trans, Jl. Kp. Legon Kel., Jatimulya Kec. Tambun, Selatan, , 11., P.O Shantika Cibitung, Jl. Raya teuku Umar, No 19 Ds. Sukadanau, Kec. Cikarang Barat, , 12., P.O HANDOYO, Jl. Raya Akses Tol Ds., Sukadanau, Kec., Cibitung, , 13., P.O Tunggal Dara Cibitung, Jl. Raya teuku Umar, No 19 Ds. Sukadanau, Kec. Cikarang Barat, , 14., P.O MURNI JAYA, Jl. Raya Imam Bonjol, Ds. Sukadanau Kec., Cikarang Barat, , 15., P.O Sahabat Kita, Jl. Raya Teuku Umar, Kel. Telaga Asih Kec., Cikarang Barat, , 16., P.O Sinar Jaya, Jl Inspeksi Kalimalang, Sukadanau, Cikarang, Barat, , 17., P.O Mayasari Bakti, Jl teuku Umar Ds, Telaga, Asih, Kec., Cikarang Barat, , , •, Perusahaan Angkutan Barang, , NO, NAMA PERUSAHAAN",Cikarang Barat
PT. Multi Sarana Bahtera,"Mandiri, Kawasan, Industri, Marunda Center Blok B, No.01 Kec. Tarumajaya, , 2, PT. Gatot Kaca, Transistemindo, Kawasan, Industri, Marunda Center Blok A, N0.8 Kec. Tarumajaya, , 3, PT. Jasa Bahari, Kp. Kebon Kelapa Ds., Segara Makmur Kec., Tarumajaya, , 4, PT. Sarana Berkat Anugrah, Kp. Tanah Baru Ds., Pantai Makmur Kec., Tarumajaya, , , , R A H A S I A, , , R A H A S I A, 94, , 1, 2, 3, 4, 5, PT. Pancaran Darat, Transportasi, Kawasan, Industri, Marunda center Blok C, Tarumajaya, , 6, PT. BUMI LESTARI, Jl. Raya Fatahilah No., 1000 Kp. Pengkolan, Rt.02/04 Kab. Bekasi, , 7, PT. MANDIRI MITRA, LOGISTIK",Bekasi
PT. BARLIA BERKAT,"SEMPURNA, Taman Alamanda Blok, H2 No. 27 Rt.05/02 Ds., Karang, Satria, Kec., Tambun Utara",Tambun
PT. JAYA SAMPURNA,"MAKMUR, Jl. Amil Misin Cibuntu, No.08 Rt.02/04  Kec., Cibitung, , 10, PT. MANDIRI PRATAMA",Cibitung
PT. MITRA TATA,"LINGKUNGAN BARU, Jl. Jababeka IS D Blok, V No. 84  Ds. Karang, Baru Kec. Cikarang, Utara, , 12, PT. MUCHTOMAS, Jl. Jababeka II Blok C, 20-21 Kios Jababeka, Pasir Gombong Kec., Cikarang Utara, , 13, PT. BUMI  PRIMA USAHA, Kp., KedunG, Gede, Rt.03/01, Ds., Kedungwaringin, Kec., Kedungwaringin",Jababeka
PT. BUANA INDO,"KENCANA, Kp., Kedung, Gede, Rt.03/01, Kec., Kedungwaringin, , 15.",Lainnya
PT. ARUNG BENKA,"NUSANTARA, Ruko Kalimas Blok F, No. 005 Kel. Jatimulya, Kec. Tambun Selatan, , 16., Cikarang Dry port, Kawasan Jurong  Ds., Tanjung, Sari, Kec., Cikarang utara, , 17., Dakota Cargo, Jl. Industri no. 68 A Ds., Cikarang Kota Kec., Cikarang Utara, , 18., Rosalia Express Lippo, Cikarang, Jl., Villa, Mutiara, Cikarang Blok H8 no., 10 Ds. Ciantra Kec., Ciakrang Selatan, , , , R A H A S I A, , , R A H A S I A, 95, , 1, 2, 3, 4, 19., Wahana Sarana Nagkutan, Bahari, Jl. Raya Teuku Umar, No. 13 Ds. Telaga Asih, kec. Cikarang Barat, , 20., PT. Rayspid Indonesia, (RAYSPEED), Jl. Inti III Blok c7 No. 8, Kawasan, ejip, Kec., Cikarang Selatan, , 21., Rosalia Ekspress cibitung, Jl Arteri Tol kp. Mariuk, Ds. Gandasari Kec., Cikarang Barat, , 22., PT. Linfox Logistics, Indonesia, Jl. Raya Lemah Abang, kec. Cikarang Utara, , 23., PT. Karawang Taro Logistics, Jl., Raya, Rengas, Bandung Ds. Tanjung, Baru Kec. Cikarang, Timur, , 24., PT. DTD Cargo International, Jl. Pinus  hijau tengah, 2 No.9 Ds. Cibatu Kec., Cikarang Selatan, , 25., PT. Trsitar Transindo, Jl., Raya, Rengas, bandung no. 32 Ds., Tanjung, Baru, Kec., Cikarang Timur, , 26., Pandu logistic, Ruko Sentra Cikarang, jl. Raya Cibarusah No., 4 Ds. Sukaresmi Kec., Cikarang Selatan, , 27., Amexpres ekspedisi, Perum GMM Blok B, No. 12 Jl. Blimbing 2, Ds. Lubang Buaya Kec., Setu, , 28., MP Trans, Jl. Trias Utama blok, B13, no., 25, Ds., Tridayasakti, Kec., Tambun Selatan, , 29., PT. Arah kreatama Mandiri, Jl. Bosih Raya  kel., Wanasari Kec. Cibitung, , 30., PT.Sentra Logostik, Kawasan industri Delta, Silicon III Ds. Cicau, Kec. Cikarang Pusat, , 31, ESL Ekspress Notredame, Cikarang, Kel., Wanasari, Kec., Cibitung, , 32, REX, Ruko Niaga kalimas 2, jl.Inspeksi Kalimalang, Ds. Setiadarma Kec., Tambun Selatan, , , , R A H A S I A, , , R A H A S I A, 96, , 1, 2, 3, 4, 33., PT. Globalindo 21 Ekspress, Ruko Grandwisata blok, AA, 12/53, Jl., Celebration boulevard, Grand, Wisata",EJIP
PT. Herona Cikarang,"Stasiun, Kereta, Api, Cikarang kec. Cikarang, Utara, , , •, Asosiasi Masyarakat Angkutan Darat, , NO, NAMA",Lainnya
PT. Mulia Keramik) Ds.,"Pasirsari, Kec., Cikarang Selatan, , 11., Pangkalan, Truk Kaw., Industri, Jurong, , Kaw. Industri Jurong, Desa Simpangan Kec., Cikarang Utara Bekasi, , 12., Pangkalan, Truk Kp., Jati, , Jl. Raya Industri Desa, Pasirgombong, Cikarang Utara Bekasi., , 13., Pangkalan, Truk Jl., Buntu, , Jl., Buntu, Cikarang, Utara Bekasi, , 14., Maju Jaya, SANAM, Ds., Lubang, Buaya, Kec. Setu Kab. Bekasi, , 15., H. Enjum, H. ENJUM, Ds. Cibening Kec. Setu, Kab. Bekasi, , 16., Pangkalan, truk, , Jl. Raya Cikarang –, Cibarusah, Ds., Sukadami, kec.",Cikarang Utara
PT. SINAR JAYA,"Kp. Legon Kel. Jatimuya Kec., Tambun Selatan, , 2., WIDIA, Kp. Sukamantri Ds. Sukaraya, Kec. Kr. Bahagia, , 3., P.O ARJUNA, SAMBA, Jl. Raya Cikarang Sukatani Ds., Sukaraya Kec. Karang BAhagia, , , •, Pool Mikrolet, , NO, NAMA POOL",Tambun
PT. HIBA UTAMA,"Ds., Kalijaya, Kec., Cibitung, , 12., PO. PERDANA JAYA, Ds. Telagaasih Kec., Cikbar, , 13., PO. SAHABAT KITA, Kp. Rawa Maju Rt, 08/13 Ds. Sukadanau, CikBar, , 14., PT. SAKA PRATAMA",Cibitung
PT. DUTA TRANS,"Ruko MM 2100 Ds., Gandamekar, , 16., PT. NIPPON EXPRES, Ruko MM 2100, Ds.Gandamekar, , 17., BUS 3/4 MARLINA, Kp. Warung Bongkok Rt, 07/08 Ds. Sukadanau, Kec. Cikarang Barat",MM2100
PT. SINAR JAYA MEGAH,"LANGGENG, Jl. Cikedokan Rt 03/02, Ds. Sukadanau Kec., Cibitung, , 30.",Cibitung
CV. Purnama Putra,"Jl., Raya, Cipayung, –, Cipanas KM.4-5 No.76, , 26.  Hotel Citra In / Subekti, Jl. Raya Serang-Cibarusah",Lainnya
PT. ADITAMA JAYA,"Jl., Raya, Cikarang-, Cibarusah KM.40 No.1 & 2, RT.17/06, Ds., Pasirsari, Cikarang Selatan",Cikarang Selatan
PT. Anugrah Bina,"Karya/Sindhu Sidharta, Naga Swalayan Tambun, Ds. Setiamekar Tambun, Selatan",Tambun
PT. Anugrah Bina,"Karya/Sindhu Sidharta, Jl. RE. Martadinata Ds., Cikarang Kota Cikarang, Utara",Lainnya
